stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id,date,source
162013,47234-1,Lutsu,,59.41135,24.6094,,,,6714,2026-05-23,gtfs
12208,20813-3,Harkujärve,,59.41271,24.60674,,,,12208,2026-05-23,gtfs
12230,47009-1,Harkujärve,,59.41271,24.60634,,,,12230,2026-05-23,gtfs
12197,47004-1,Kiriku,,59.41596,24.60174,,,,12197,2026-05-23,gtfs
12198,47003-1,Kiriku,,59.4158,24.60264,,,,12198,2026-05-23,gtfs
803,00118-1,Jõeküla,,59.43552,24.58253,,,,803,2026-05-23,gtfs
804,00119-1,Jõeküla,,59.43609,24.58117,,,,804,2026-05-23,gtfs
4622,21552-1,Tiskre,,59.43326,24.56333,,,,4622,2026-05-23,gtfs
801,00116-1,Tiskre oja,,59.43157,24.59982,,,,801,2026-05-23,gtfs
802,00117-1,Tiskre oja,,59.43164,24.60062,,,,802,2026-05-23,gtfs
126778,47040-1,Vahepere,,59.43694,24.57434,,,,64,2026-05-23,gtfs
148041,47225-1,Vana-Rannamõisa tee,,59.43245,24.59445,,,,5784,2026-05-23,gtfs
148042,47226-1,Vana-Rannamõisa tee,,59.43326,24.59223,,,,5785,2026-05-23,gtfs
12201,47005-1,Alasniidu tee,,59.41796,24.58739,,,,12201,2026-05-23,gtfs
12202,47006-1,Alasniidu tee,,59.4172,24.58638,,,,12202,2026-05-23,gtfs
12203,47007-1,Oja tee,,59.41466,24.58343,,,,12203,2026-05-23,gtfs
2876,20101-1,Kabelikivi,,59.48069,24.94412,,,,2876,2026-05-23,gtfs
2877,20102-1,Kardheina tee,,59.48139,24.93217,,,,2877,2026-05-23,gtfs
2872,19901-1,Muuga aedlinn,,59.47678,24.91898,,,,2872,2026-05-23,gtfs
2878,19904-1,Pirnipuu puiestee,,59.47919,24.92417,,,,2878,2026-05-23,gtfs
2874,20001-1,Hiireherne tee,,59.47304,24.94072,,,,2874,2026-05-23,gtfs
2873,19903-1,Kirsipuu puiestee,,59.474,24.93115,,,,2873,2026-05-23,gtfs
2871,19902-1,Muuga aedlinn,,59.47699,24.92068,,,,2871,2026-05-23,gtfs
2875,20002-1,Õunapuu puiestee,,59.47495,24.95111,,,,2875,2026-05-23,gtfs
2947,19401-1,Kärmu,,59.45311,24.96639,,,,2947,2026-05-23,gtfs
2945,19403-1,Koplimäe,,59.45436,24.95761,,,,2945,2026-05-23,gtfs
2946,19402-1,Koplimäe,,59.4549,24.95512,,,,2946,2026-05-23,gtfs
2941,19104-1,Madikse,,59.45743,24.93875,,,,2941,2026-05-23,gtfs
2942,19103-1,Madikse,,59.458,24.93684,,,,2942,2026-05-23,gtfs
2943,19302-1,Pähklimäe,,59.45619,24.94638,,,,2943,2026-05-23,gtfs
2944,19301-1,Pähklimäe,,59.45649,24.94531,,,,2944,2026-05-23,gtfs
2939,19101-1,Vasar,,59.45989,24.92806,,,,2939,2026-05-23,gtfs
2940,19102-1,Vasar,,59.46064,24.92519,,,,2940,2026-05-23,gtfs
161301,43199-1,Küti,,59.39614,24.79655,,,,6044,2026-05-23,gtfs
13667,43159-1,Peetri kool,,59.39628,24.80825,,,,13667,2026-05-23,gtfs
128790,43164-1,Peetri kool,,59.39759,24.80856,,,,136,2026-05-23,gtfs
4432,23188-1,Veski,,59.38981,24.80394,,,,4432,2026-05-23,gtfs
2300,13601-1,Mõigu,,59.40626,24.81606,,,,2300,2026-05-23,gtfs
146565,23847-1,Valdmäe,,59.34459,24.6224,,,,6138,2026-05-23,gtfs
130187,23397-1,Urda,,59.34141,24.61678,,,,208,2026-05-23,gtfs
13181,47342-1,Laagri alevik,,59.35148,24.61049,,,,13181,2026-05-23,gtfs
1622,20821-1,Nõlvaku,,59.35072,24.62794,,,,1622,2026-05-23,gtfs
1623,20822-1,Nõlvaku,,59.35044,24.62691,,,,1623,2026-05-23,gtfs
130186,23396-1,Urda,,59.34184,24.6157,,,,207,2026-05-23,gtfs
1620,20818-1,Laagri alevik,,59.35163,24.61199,,,,1620,2026-05-23,gtfs
13183,20824-1,Laagri alevik,,59.35164,24.61323,,,,13183,2026-05-23,gtfs
1618,20816-1,Rahnu,,59.35137,24.62143,,,,1618,2026-05-23,gtfs
1621,20820-1,Rahnu,,59.35123,24.62355,,,,1621,2026-05-23,gtfs
3934,04503-1,Turbasambla,,59.35621,24.61095,,,,3934,2026-05-23,gtfs
141510,00308-2,Haabersti,,59.42478,24.65077,,,,5877,2026-05-23,gtfs
12953,00123-1,Keskpäeva tee,,59.43388,24.56075,,,,12953,2026-05-23,gtfs
133449,00141-1,Mõisa,,59.42676,24.65512,,,,4149,2026-05-23,gtfs
850,01902-1,Astangu,,59.40469,24.63227,,,,850,2026-05-23,gtfs
129447,01901-1,Astangu,,59.40446,24.63395,,,,179,2026-05-23,gtfs
851,01903-1,Harku-Kadaka,,59.40493,24.63888,,,,851,2026-05-23,gtfs
852,01904-1,Harku-Kadaka,,59.40462,24.63782,,,,852,2026-05-23,gtfs
139009,01905-1,Jalami,,59.40494,24.62722,,,,5737,2026-05-23,gtfs
139010,01906-1,Jalami,,59.40475,24.62981,,,,5738,2026-05-23,gtfs
128605,00310-1,Meistri,,59.41633,24.65641,,,,131,2026-05-23,gtfs
132184,02114-1,Päevalille,,59.4214,24.64953,,,,4014,2026-05-23,gtfs
132185,02115-1,Päevalille,,59.42056,24.65009,,,,4016,2026-05-23,gtfs
132179,02112-1,Rebasemägi,,59.41825,24.65385,,,,4012,2026-05-23,gtfs
132183,02113-1,Rebasemägi,,59.41728,24.65454,,,,4013,2026-05-23,gtfs
845,01607-1,Järveotsa kool,,59.40715,24.6395,,,,845,2026-05-23,gtfs
846,01608-1,Järveotsa kool,,59.40696,24.64036,,,,846,2026-05-23,gtfs
839,01601-1,Järveotsa tee,,59.40916,24.63253,,,,839,2026-05-23,gtfs
847,01609-1,Järveotsa tee,,59.40893,24.63217,,,,847,2026-05-23,gtfs
137934,03608-1,Rehe,,59.39793,24.63841,,,,4316,2026-05-23,gtfs
137935,03609-1,Rehe,,59.39891,24.64169,,,,4318,2026-05-23,gtfs
785,00101-1,Kakumäe,,59.45914,24.57318,,,,785,2026-05-23,gtfs
786,00102-1,Kakumäe,,59.45971,24.57294,,,,786,2026-05-23,gtfs
796,00111-1,Kakumäe tee,,59.44206,24.59484,,,,796,2026-05-23,gtfs
797,00112-1,Kakumäe tee,,59.44292,24.59407,,,,797,2026-05-23,gtfs
794,00124-1,Landi,,59.44871,24.59001,,,,794,2026-05-23,gtfs
795,00110-1,Landi,,59.44885,24.58998,,,,795,2026-05-23,gtfs
133437,00130-1,Räime,,59.44719,24.5912,,,,4138,2026-05-23,gtfs
133438,00131-1,Räime,,59.44674,24.59106,,,,4139,2026-05-23,gtfs
787,00103-1,Soolahe tee,,59.45573,24.57782,,,,787,2026-05-23,gtfs
788,00104-1,Soolahe tee,,59.45617,24.5774,,,,788,2026-05-23,gtfs
791,00107-1,Sooranna tee,,59.45142,24.58467,,,,791,2026-05-23,gtfs
792,00108-1,Sooranna tee,,59.45198,24.58397,,,,792,2026-05-23,gtfs
789,00105-1,Teeotsa,,59.45373,24.58069,,,,789,2026-05-23,gtfs
790,00106-1,Teeotsa,,59.45376,24.5808,,,,790,2026-05-23,gtfs
133434,00127-1,Tõnu,,59.4398,24.5975,,,,4135,2026-05-23,gtfs
133435,00128-1,Tõnu,,59.43936,24.59773,,,,4136,2026-05-23,gtfs
798,00113-1,Vismeistri,,59.43613,24.60113,,,,798,2026-05-23,gtfs
133433,00126-1,Vismeistri,,59.43648,24.60098,,,,4134,2026-05-23,gtfs
141512,00307-2,Haabersti ring,,59.42415,24.64332,,,,5879,2026-05-23,gtfs
141515,00602-2,Haabersti ring,,59.42394,24.6425,,,,5882,2026-05-23,gtfs
813,00306-1,Sõba,,59.42655,24.63247,,,,813,2026-05-23,gtfs
819,00601-1,Sõba,,59.42627,24.63221,,,,819,2026-05-23,gtfs
139007,02001-1,Kotermaa,,59.40461,24.61551,,,,172,2026-05-23,gtfs
139008,02002-1,Kotermaa,,59.40517,24.61643,,,,5736,2026-05-23,gtfs
142467,02003-1,Moonalao,,59.40267,24.61327,,,,5924,2026-05-23,gtfs
142468,02004-1,Moonalao,,59.40249,24.61289,,,,5925,2026-05-23,gtfs
793,00109-1,Landi,,59.44889,24.59053,,,,793,2026-05-23,gtfs
812,00305-1,Tanuma,,59.42787,24.63318,,,,812,2026-05-23,gtfs
162451,10622-1,Veerme,,59.39753,24.60804,,,,6763,2026-05-23,gtfs
162452,10623-1,Veerme,,59.39706,24.6094,,,,6764,2026-05-23,gtfs
133447,00140-1,Mõisa,,59.42747,24.65501,,,,4148,2026-05-23,gtfs
823,00801-1,Karikakra,,59.41684,24.65256,,,,823,2026-05-23,gtfs
824,00802-1,Karikakra,,59.41824,24.65124,,,,824,2026-05-23,gtfs
837,01401-1,Kullerkupu,,59.41125,24.64768,,,,837,2026-05-23,gtfs
848,01701-1,Kullerkupu,,59.41102,24.64775,,,,848,2026-05-23,gtfs
830,01001-1,Meelespea,,59.41563,24.63972,,,,830,2026-05-23,gtfs
831,01002-1,Meelespea,,59.41648,24.63964,,,,831,2026-05-23,gtfs
141104,01402-1,Meistri,,59.41553,24.65547,,,,5846,2026-05-23,gtfs
141105,01403-1,Meistri,,59.41542,24.65624,,,,5847,2026-05-23,gtfs
835,01301-1,Nurmenuku,,59.41331,24.65293,,,,835,2026-05-23,gtfs
836,01302-1,Nurmenuku,,59.41402,24.65407,,,,836,2026-05-23,gtfs
139068,01004-1,Päevalille,,59.42046,24.64684,,,,240,2026-05-23,gtfs
833,01102-1,Rukkilille,,59.41378,24.64027,,,,833,2026-05-23,gtfs
834,01103-1,Rukkilille,,59.41339,24.64028,,,,834,2026-05-23,gtfs
