transport_type,line_number,vehicle_id,fleet_number,lat,lon,heading_deg,speed_kmh,floor_type,destination,snapshot_ts,snapshot_date
2,8,1186,49,59.44323,24.78564,100,,Z,Äigrumäe,2026-05-23 07:00:00+03,2026-05-23
2,8,1236,34,59.4845,24.88407,329,,Z,Väike-Õismäe,2026-05-23 07:00:00+03,2026-05-23
2,8,1474,2,59.41253,24.63432,289,,Z,Väike-Õismäe,2026-05-23 07:00:00+03,2026-05-23
2,8,1476,61,59.42634,24.65951,69,,Z,Äigrumäe,2026-05-23 07:00:00+03,2026-05-23
2,8,1710,18,59.44366,24.7524,4,,Z,Väike-Õismäe,2026-05-23 07:00:00+03,2026-05-23
2,8,1186,49,59.4425,24.78927,112,,Z,Äigrumäe,2026-05-23 07:00:30+03,2026-05-23
2,8,1236,34,59.48674,24.88172,331,,Z,Väike-Õismäe,2026-05-23 07:00:30+03,2026-05-23
2,8,1474,2,59.41192,24.63537,117,,Z,Väike-Õismäe,2026-05-23 07:00:30+03,2026-05-23
2,8,1476,61,59.42721,24.66549,76,,Z,Äigrumäe,2026-05-23 07:00:30+03,2026-05-23
2,8,1710,18,59.44382,24.75093,287,,Z,Väike-Õismäe,2026-05-23 07:00:30+03,2026-05-23
2,8,1186,49,59.4425,24.78927,112,,Z,Äigrumäe,2026-05-23 07:01:01+03,2026-05-23
2,8,1236,34,59.48932,24.8808,353,,Z,Väike-Õismäe,2026-05-23 07:01:01+03,2026-05-23
2,8,1474,2,59.41192,24.63537,117,,Z,Väike-Õismäe,2026-05-23 07:01:01+03,2026-05-23
2,8,1476,61,59.42778,24.67209,84,,Z,Äigrumäe,2026-05-23 07:01:01+03,2026-05-23
2,8,1710,18,59.44407,24.7488,283,,Z,Väike-Õismäe,2026-05-23 07:01:01+03,2026-05-23
2,8,1186,49,59.44237,24.79101,100,,Z,Äigrumäe,2026-05-23 07:01:31+03,2026-05-23
2,8,1236,34,59.49085,24.87951,311,,Z,Väike-Õismäe,2026-05-23 07:01:31+03,2026-05-23
2,8,1474,2,59.41192,24.63537,117,,Z,Väike-Õismäe,2026-05-23 07:01:31+03,2026-05-23
2,8,1476,61,59.42787,24.6734,82,,Z,Äigrumäe,2026-05-23 07:01:31+03,2026-05-23
